Feature,Mean_ABS_SHAP
MAP2K3,0.9083550303820092
RPL29,0.7650392536744872
RPS7,0.7278673529708031
IL1R2,0.7126729854932388
SLC36A1,0.6708734068969917
PRPF18,0.6094791301606161
RCN2,0.3424080221150967
EEF1AKMT2,0.2561746788912828
GPR180,0.2451491649339764
ENSG00000282572,0.2261837072239708
SMN1,0.1983242936081127
DCBLD1,0.1308612857005753
PPM1K,0.112384237681633
RFC4,0.0830934200125013
PSMB4,0.0816795088876733
ZFYVE1,0.068535982970737
IMP4,0.0663319999060072
TRBV3-1,0.0598817187013879
DDX18,0.0528576792805553
PPP1CB,0.0524429511619361
