Feature,Mean_ABS_SHAP
MAP2K3,0.0605047715754219
SLC36A1,0.0521216450769402
RCN2,0.0324773544796741
SMN1,0.0300379343606015
RPS7,0.0281268309689898
RPL29,0.0264794352447924
IL1R2,0.0219037650936297
ENSG00000282572,0.0174572639068043
ARL4C,0.013605068575571
CHCHD10,0.0129605584738792
UBE2O,0.0127507931123681
KLHL21,0.0121222151320378
LSM12,0.0120650319069987
STEAP4,0.009966219553036
EEF1AKMT2,0.0084306915313332
GPR180,0.008164103618637
ACTN1,0.00771659500364
DCBLD1,0.0052211940822436
SUSD1,0.0047993878051428
CERS5,0.0036181558763207
