Feature,Mean_ABS_SHAP
UBE2O,0.03028235136046806
DCUN1D1,0.022314358614158907
KLHL21,0.02120168399343292
YOD1,0.020244917098098166
LSM12,0.01962310630912245
CD27,0.017301869157619075
STEAP4,0.016013652107470005
PTGES,0.015932209187121103
CHCHD10,0.014619348543839152
LTV1,0.014549392858430413
ZFYVE1,0.013994753464557754
KLHL18,0.01353374695695388
ARL4C,0.01328416719552142
CTBP1,0.012953922932184649
SMN1,0.011837584316601407
IL1R2,0.011056103876993306
DCBLD1,0.010156604064855131
SAP30,0.009080279562409132
NRN1,0.009055864908107978
GPR180,0.008335707436241725
