Feature,Mean_ABS_SHAP
UBE2O,0.030282351360468
DCUN1D1,0.0223143586141589
KLHL21,0.0212016839934329
YOD1,0.0202449170980981
LSM12,0.0196231063091224
CD27,0.017301869157619
STEAP4,0.01601365210747
PTGES,0.0159322091871211
CHCHD10,0.0146193485438391
LTV1,0.0145493928584304
ZFYVE1,0.0139947534645577
KLHL18,0.0135337469569538
ARL4C,0.0132841671955214
CTBP1,0.0129539229321846
SMN1,0.0118375843166014
IL1R2,0.0110561038769933
DCBLD1,0.0101566040648551
SAP30,0.0090802795624091
NRN1,0.0090558649081079
GPR180,0.0083357074362417
