Feature,Mean_ABS_SHAP
Length of Hospitalization,0.1248155806996964
RPL29,0.08783124064944844
RPL31,0.07026724122275294
GRB10,0.03488520132375538
PGRMC2,0.03443717704127736
ZFYVE1,0.029748343055133943
DDX50,0.029300015621999673
RNF24,0.013683348609768664
ABALON,0.010635761235765744
POP5,0.00823850781160488
MTMR3,0.007467123449050133
RNF10,0.007160248474954046
MAVS,0.004697150125675108
TOMM20,0.004176775301794673
IL17RA,0.0040210235406452875
ZNF217,0.00395131428791948
MAP2K3,0.002248250345966314
OPLAH,0.0022430829510168794
SLC2A4RG,0.002190181500622737
Remdesivir_Yes,0.0021269462396597276
